"Crop","State","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Nagaland","Kharif","1.22","2.08","2.08","1.96","","1.50","3.64","3.64","3.40","","1233.00","1748.00","1751.00","1734.00",""
"Rice","Nagaland","Rabi","0.00","0.03","0.02","0.01","","0.00","0.06","0.05","0.03","","1800.00","1995.00","1999.00","1950.00",""
"Rice","Nagaland","Total","1.22","2.11","2.10","1.97","","1.51","3.70","3.69","3.43","","1234.00","1751.00","1753.00","1736.00",""
"Rice","Odisha","Kharif","36.48","37.29","37.01","34.19","35.49","81.54","70.81","72.79","81.44","84.54","2235.00","1899.00","1967.00","2382.00","2382.00"
"Rice","Odisha","Rabi","2.99","","","","","11.37","","","","","3797.00","","","",""
"Rice","Odisha","Summer","","3.36","3.71","4.15","","","11.69","11.95","13.84","","","3485.00","3219.00","3338.00",""
"Rice","Odisha","Total","39.48","40.64","40.72","38.34","35.49","92.91","82.50","84.74","95.27","84.54","2353.00","2030.00","2081.00","2485.00","2382.00"
"Rice","Puducherry","Kharif","0.04","0.04","0.04","0.03","","0.13","0.14","0.13","0.09","","2956.00","3311.00","3142.00","2765.00",""
"Rice","Puducherry","Rabi","0.15","0.10","0.10","0.09","","0.44","0.32","0.32","0.23","","2992.00","3137.00","3139.00","2520.00",""
"Rice","Puducherry","Summer","","0.05","0.05","0.05","","","0.19","0.16","0.15","","","3635.00","3112.00","3218.00",""
"Rice","Puducherry","Total","0.19","0.20","0.20","0.17","","0.57","0.65","0.61","0.47","","2984.00","3304.00","3133.00","2761.00",""
"Rice","Punjab","Kharif","29.69","30.98","31.79","32.43","32.49","128.85","129.91","143.56","143.61","136.67","4340.00","4193.00","4516.00","4428.00","4207.00"
"Rice","Punjab","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Punjab","Total","29.69","30.98","31.79","32.43","32.49","128.85","129.91","143.56","143.61","136.67","4340.00","4193.00","4516.00","4428.00","4207.00"
"Rice","Rajasthan","Kharif","1.96","2.34","2.68","3.54","3.50","4.79","5.77","7.46","9.18","9.16","2436.00","2464.00","2786.00","2593.00","2618.00"
"Rice","Rajasthan","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Rajasthan","Total","1.96","2.34","2.68","3.54","3.50","4.79","5.77","7.46","9.18","9.16","2436.00","2464.00","2786.00","2593.00","2618.00"
"Rice","Sikkim","Kharif","0.09","0.08","0.06","0.06","","0.16","0.10","0.08","0.08","","1861.00","1241.00","1242.00","1242.00",""
"Rice","Sikkim","Rabi","","","","","","0.00","","","","","","","","",""
"Rice","Sikkim","Total","0.09","0.08","0.06","0.06","","0.16","0.10","0.08","0.08","","1861.00","1241.00","1242.00","1242.00",""
"Rice","Tamil Nadu","Kharif","20.24","6.93","6.80","6.64","7.71","70.51","25.13","20.90","22.41","27.89","3483.00","3627.00","3074.00","3375.00","3617.00"
"Rice","Tamil Nadu","Rabi","1.93","12.68","11.79","12.21","","8.56","42.56","37.79","37.96","","4436.00","3357.00","3204.00","3109.00",""
"Rice","Tamil Nadu","Summer","","1.98","2.43","2.73","","","7.88","9.31","10.56","","","3975.00","3839.00","3874.00",""
"Rice","Tamil Nadu","Total","22.17","21.59","21.02","21.58","7.71","79.07","75.57","67.99","70.94","27.89","3566.00","3500.00","3235.00","3288.00","3617.00"
"Rice","Telangana","Kharif","23.74","25.41","25.74","24.87","26.76","78.34","88.87","93.44","90.54","96.35","3300.00","3498.00","3630.00","3640.00","3600.00"
"Rice","Telangana","Rabi","12.81","21.22","21.11","23.22","","45.75","69.91","75.30","83.92","","3572.00","3295.00","3567.00","3614.00",""
"Rice","Telangana","Total","36.55","46.62","46.85","48.09","26.76","124.10","158.77","168.74","174.46","96.35","3395.00","3406.00","3602.00","3627.00","3600.00"
"Rice","Tripura","Kharif","1.91","1.79","1.79","1.63","","5.85","5.77","5.77","4.95","","3069.00","3218.00","3218.00","3043.00",""
"Rice","Tripura","Rabi","0.65","0.63","0.63","0.62","","2.26","2.12","2.12","2.21","","3470.00","3391.00","3391.00","3557.00",""
"Rice","Tripura","Total","2.56","2.42","2.42","2.25","","8.11","7.89","7.89","7.15","","3171.00","3263.00","3263.00","3185.00",""
"Rice","Uttar Pradesh","Kharif","56.76","58.67","57.32","71.50","68.90","151.83","160.33","158.65","201.45","194.10","2675.00","2733.00","2768.00","2817.00","2817.00"
"Rice","Uttar Pradesh","Rabi","0.27","","","","","0.88","","","","","3268.00","","","",""
"Rice","Uttar Pradesh","Summer","","0.32","0.36","2.00","","","1.10","1.25","6.14","","","3439.00","3474.00","3068.00",""
"Rice","Uttar Pradesh","Total","57.03","58.99","57.68","73.50","68.90","152.72","161.43","159.90","207.59","194.10","2678.00","2737.00","2772.00","2824.00","2817.00"
"Rice","Uttarakhand","Kharif","2.33","2.27","2.21","2.09","2.06","6.24","5.57","5.63","5.56","5.19","2680.00","2453.00","2552.00","2667.00","2525.00"
"Rice","Uttarakhand","Rabi","0.24","","","","","0.92","","","","","3817.00","","","",""
"Rice","Uttarakhand","Summer","","0.22","0.23","0.07","","","0.78","0.81","0.29","","","3526.00","3571.00","3921.00",""
"Rice","Uttarakhand","Total","2.57","2.49","2.43","2.16","2.06","7.16","6.34","6.44","5.86","5.19","2786.00","2548.00","2647.00","2710.00","2525.00"
"Rice","West Bengal","Kharif","42.86","37.69","38.09","42.30","42.76","122.05","107.79","109.47","110.06","118.54","2848.00","2860.00","2874.00","2602.00","2772.00"
"Rice","West Bengal","Rabi","13.00","","","","","45.23","","","","","3479.00","","","",""
"Rice","West Bengal","Summer","","12.96","13.10","13.62","","","47.06","47.39","50.14","","","3630.00","3617.00","3680.00",""
"Rice","West Bengal","Total","55.86","50.65","51.19","55.92","42.76","167.29","154.84","156.87","160.19","118.54","2995.00","3057.00","3064.00","2865.00","2772.00"
"Rice","Others","Kharif","","","","","10.84","","","","","24.76","","","","","2284.00"
"Rice","Others","Total","","","","","10.84","","","","","24.76","","","","","2284.00"
"Rice","All India","Kharif","410.38","404.03","407.34","434.66","441.70","1110.01","1105.12","1132.59","1227.72","1245.04","2705.00","2735.00","2780.00","2825.00","2819.00"
"Rice","All India","Rabi","52.40","43.28","40.76","44.73","","184.71","150.04","146.01","161.29","","3525.00","3467.00","3582.00","3606.00",""
"Rice","All India","Summer","","31.01","30.18","33.28","","","102.40","99.65","112.84","","","3302.00","3302.00","3391.00",""
"Rice","All India","Total","462.79","478.32","478.28","512.67","441.70","1294.71","1357.55","1378.25","1501.84","1245.04","2798.00","2838.00","2882.00","2929.00","2819.00"
"Wheat","Andaman And Nicobar Islands","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Andaman And Nicobar Islands","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Andhra Pradesh","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Andhra Pradesh","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Arunachal Pradesh","Rabi","0.04","0.04","0.04","0.03","","0.08","0.08","0.07","0.06","","1974.00","1977.00","1974.00","1975.00",""
"Wheat","Arunachal Pradesh","Total","0.04","0.04","0.04","0.03","","0.08","0.08","0.07","0.06","","1974.00","1977.00","1974.00","1975.00",""
"Wheat","Assam","Rabi","0.09","0.09","0.09","0.09","","0.11","0.12","0.13","0.12","","1248.00","1322.00","1434.00","1349.00",""
"Wheat","Assam","Total","0.09","0.09","0.09","0.09","","0.11","0.12","0.13","0.12","","1248.00","1322.00","1434.00","1349.00",""
"Wheat","Bihar","Rabi","22.39","21.99","22.76","22.86","","62.24","65.06","71.68","71.89","","2780.00","2958.00","3150.00","3145.00",""
"Wheat","Bihar","Total","22.39","21.99","22.76","22.86","","62.24","65.06","71.68","71.89","","2780.00","2958.00","3150.00","3145.00",""
"Wheat","Chandigarh","Rabi","0.01","0.01","0.01","0.01","","0.03","0.03","0.03","0.03","","5000.00","4696.00","5000.00","5000.00",""
"Wheat","Chandigarh","Total","0.01","0.01","0.01","0.01","","0.03","0.03","0.03","0.03","","5000.00","4696.00","5000.00","5000.00",""
"Wheat","Chhattisgarh","Rabi","1.56","1.33","1.34","1.47","","1.92","1.90","1.81","2.35","","1229.00","1427.00","1350.00","1599.00",""
"Wheat","Chhattisgarh","Total","1.56","1.33","1.34","1.47","","1.92","1.90","1.81","2.35","","1229.00","1427.00","1350.00","1599.00",""
"Wheat","Dadra And Nagar Haveli","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Dadra And Nagar Haveli","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Daman And Diu","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Daman And Diu","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Delhi","Rabi","0.18","0.17","0.17","0.17","","0.81","0.81","0.80","0.80","","4500.00","4650.00","4650.00","4650.00",""
"Wheat","Delhi","Total","0.18","0.17","0.17","0.17","","0.81","0.81","0.80","0.80","","4500.00","4650.00","4650.00","4650.00",""
"Wheat","Goa","Rabi","","","","","","0.00","","","","","","","","",""
"Wheat","Goa","Total","","","","","","0.00","","","","","","","","",""
"Wheat","Gujarat","Rabi","10.40","10.67","12.46","12.82","","33.33","34.64","37.73","38.67","","3205.00","3248.00","3027.00","3017.00",""
"Wheat","Gujarat","Total","10.40","10.67","12.46","12.82","","33.33","34.64","37.73","38.67","","3205.00","3248.00","3027.00","3017.00",""
"Wheat","Haryana","Rabi","23.05","23.23","23.70","23.88","","104.47","109.29","111.91","114.00","","4533.00","4704.00","4723.00","4774.00",""
"Wheat","Haryana","Total","23.05","23.23","23.70","23.88","","104.47","109.29","111.91","114.00","","4533.00","4704.00","4723.00","4774.00",""
"Wheat","Himachal Pradesh","Rabi","3.20","3.19","3.17","3.07","","5.49","5.92","7.86","6.51","","1714.00","1853.00","2480.00","2120.00",""
"Wheat","Himachal Pradesh","Total","3.20","3.19","3.17","3.07","","5.49","5.92","7.86","6.51","","1714.00","1853.00","2480.00","2120.00",""
"Wheat","Jammu And Kashmir","Rabi","2.83","2.84","2.84","2.84","","5.84","5.87","5.87","5.87","","2066.00","2062.00","2062.00","2062.00",""
"Wheat","Jammu And Kashmir","Total","2.83","2.84","2.84","2.84","","5.84","5.87","5.87","5.87","","2066.00","2062.00","2062.00","2062.00",""
"Wheat","Jharkhand","Rabi","2.28","2.04","2.28","2.50","","5.19","4.39","4.81","5.50","","2282.00","2146.00","2110.00","2201.00",""
"Wheat","Jharkhand","Total","2.28","2.04","2.28","2.50","","5.19","4.39","4.81","5.50","","2282.00","2146.00","2110.00","2201.00",""
"Wheat","Karnataka","Rabi","1.65","1.46","1.45","1.63","","2.12","2.00","1.90","2.05","","1287.00","1373.00","1309.00","1255.00",""
"Wheat","Karnataka","Total","1.65","1.46","1.45","1.63","","2.12","2.00","1.90","2.05","","1287.00","1373.00","1309.00","1255.00",""
"Wheat","Kerala","Rabi","0.00","","","","","0.00","","","","","1000.00","","","",""
"Wheat","Kerala","Total","0.00","","","","","0.00","","","","","1000.00","","","",""
"Wheat","Ladakh","Rabi","0.04","0.04","0.04","0.05","","0.07","0.07","0.07","0.09","","1600.00","1553.00","1553.00","1831.00",""
"Wheat","Ladakh","Total","0.04","0.04","0.04","0.05","","0.07","0.07","0.07","0.09","","1600.00","1553.00","1553.00","1831.00",""
"Wheat","Lakshadweep","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Lakshadweep","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Madhya Pradesh","Rabi","65.00","71.50","74.97","77.49","","229.78","227.30","225.81","245.09","","3535.00","3179.00","3012.00","3163.00",""
"Wheat","Madhya Pradesh","Total","65.00","71.50","74.97","77.49","","229.78","227.30","225.81","245.09","","3535.00","3179.00","3012.00","3163.00",""
"Wheat","Maharashtra","Rabi","11.32","12.19","10.47","11.89","","21.44","23.74","19.88","22.86","","1894.00","1948.00","1899.00","1922.00",""
"Wheat","Maharashtra","Total","11.32","12.19","10.47","11.89","","21.44","23.74","19.88","22.86","","1894.00","1948.00","1899.00","1922.00",""
"Wheat","Manipur","Rabi","0.02","0.02","0.02","0.02","","0.06","0.06","0.06","0.05","","2457.00","2481.00","2600.00","2320.00",""
"Wheat","Manipur","Total","0.02","0.02","0.02","0.02","","0.06","0.06","0.06","0.05","","2457.00","2481.00","2600.00","2320.00",""
"Wheat","Meghalaya","Rabi","0.00","0.00","0.00","0.00","","0.01","0.00","0.00","0.00","","1935.00","1790.00","1790.00","1790.00",""
"Wheat","Meghalaya","Total","0.00","0.00","0.00","0.00","","0.01","0.00","0.00","0.00","","1935.00","1790.00","1790.00","1790.00",""
"Wheat","Mizoram","Rabi","","","","","","0.00","","","","","","","","",""
"Wheat","Mizoram","Total","","","","","","0.00","","","","","","","","",""
"Wheat","Nagaland","Rabi","0.01","0.01","0.01","0.01","","0.02","0.03","0.03","0.02","","1688.00","1838.00","1840.00","1840.00",""
"Wheat","Nagaland","Total","0.01","0.01","0.01","0.01","","0.02","0.03","0.03","0.02","","1688.00","1838.00","1840.00","1840.00",""
"Wheat","Odisha","Rabi","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.01","","1705.00","1548.00","1894.00","1796.00",""
"Wheat","Odisha","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.01","","1705.00","1548.00","1894.00","1796.00",""
"Wheat","Puducherry","Rabi","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Puducherry","Total","0.00","","","","","0.00","","","","","0.00","","","",""
"Wheat","Punjab","Rabi","35.25","35.35","35.16","35.12","","148.61","167.83","177.37","179.93","","4216.00","4748.00","5045.00","5123.00",""
"Wheat","Punjab","Total","35.25","35.35","35.16","35.12","","148.61","167.83","177.37","179.93","","4216.00","4748.00","5045.00","5123.00",""
"Wheat","Rajasthan","Rabi","25.80","27.94","27.40","31.68","","100.96","106.36","97.00","112.75","","3913.00","3807.00","3540.00","3559.00",""
"Wheat","Rajasthan","Total","25.80","27.94","27.40","31.68","","100.96","106.36","97.00","112.75","","3913.00","3807.00","3540.00","3559.00",""
"Wheat","Sikkim","Rabi","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","1155.00","1155.00","1160.00","1160.00",""
"Wheat","Sikkim","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","1155.00","1155.00","1160.00","1160.00",""
"Wheat","Tamil Nadu","Rabi","","","","","","0.00","","","","","","","","",""
"Wheat","Tamil Nadu","Total","","","","","","0.00","","","","","","","","",""
"Wheat","Telangana","Rabi","0.07","0.03","0.04","0.02","","0.14","0.06","0.07","0.05","","2009.00","2073.00","1714.00","1973.00",""
"Wheat","Telangana","Total","0.07","0.03","0.04","0.02","","0.14","0.06","0.07","0.05","","2009.00","2073.00","1714.00","1973.00",""
"Wheat","Tripura","Rabi","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","2071.00","2048.00","2048.00","2172.00",""
"Wheat","Tripura","Total","0.00","0.00","0.00","0.00","","0.00","0.00","0.00","0.00","","2071.00","2048.00","2048.00","2172.00",""
"Wheat","Uttar Pradesh","Rabi","94.20","95.19","95.32","95.99","","339.50","336.10","353.40","356.53","","3604.00","3531.00","3708.00","3714.00",""
"Wheat","Uttar Pradesh","Total","94.20","95.19","95.32","95.99","","339.50","336.10","353.40","356.53","","3604.00","3531.00","3708.00","3714.00",""
"Wheat","Uttarakhand","Rabi","2.98","2.85","2.68","2.58","","8.63","8.31","8.69","8.56","","2896.00","2916.00","3244.00","3310.00",""
"Wheat","Uttarakhand","Total","2.98","2.85","2.68","2.58","","8.63","8.31","8.69","8.56","","2896.00","2916.00","3244.00","3310.00",""
"Wheat","West Bengal","Rabi","2.21","1.80","1.90","1.81","","6.56","5.57","5.93","5.68","","2974.00","3088.00","3127.00","3130.00",""
"Wheat","West Bengal","Total","2.21","1.80","1.90","1.81","","6.56","5.57","5.93","5.68","","2974.00","3088.00","3127.00","3130.00",""
"Wheat","All India","Rabi","304.59","314.01","318.33","328.04","","1077.42","1105.54","1132.92","1179.45","","3537.00","3521.00","3559.00","3595.00",""
"Wheat","All India","Total","304.59","314.01","318.33","328.04","","1077.42","1105.54","1132.92","1179.45","","3537.00","3521.00","3559.00","3595.00",""
"Maize","Andaman And Nicobar Islands","Kharif","0.00","0.00","0.00","","","0.00","0.00","0.00","","","2680.00","2260.00","2410.00","",""
