"ï»¿""Crop""",State,Season,Area-2021-22,Area-2022-23,Area-2023-24,Area-2024-25,Area-2025-26,Production-2021-22,Production-2022-23,Production-2023-24,Production-2024-25,Production-2025-26,Yield-2021-22,Yield-2022-23,Yield-2023-24,Yield-2024-25,Yield-2025-26
Rice,Tamil Nadu,Rabi,1.93,12.68,11.79,12.21,,8.56,42.56,37.79,37.96,,4436,3357,3204,3109,
Rice,Tamil Nadu,Summer,,1.98,2.42,2.73,,,7.88,9.31,10.56,,,3975,3839,3874,
Rice,Tamil Nadu,Total,22.17,21.59,21.02,21.58,7.71,79.07,75.57,67.99,70.94,27.89,3566,3500,3235,3288,3617
Rice,Telangana,Kharif,23.74,25.41,25.74,24.87,26.76,78.34,88.87,93.44,90.54,96.35,3300,3498,3630,3640,3600
Rice,Telangana,Rabi,12.81,21.22,21.11,23.22,,45.75,69.91,75.3,83.92,,3572,3295,3567,3614,
Rice,Telangana,Total,36.55,46.62,46.85,48.09,26.76,124.1,158.77,168.74,174.46,96.35,3395,3406,3602,3627,3600
Rice,Tripura,Kharif,1.91,1.79,1.79,1.63,,5.85,5.77,5.77,4.95,,3069,3218,3218,3043,
Rice,Tripura,Rabi,0.65,0.63,0.63,0.62,,2.26,2.12,2.12,2.21,,3470,3391,3391,3557,
Rice,Tripura,Total,2.56,2.42,2.42,2.25,,8.11,7.89,7.89,7.15,,3171,3263,3263,3185,
Rice,Uttar Pradesh,Kharif,56.76,58.66,57.32,71.5,68.9,151.83,160.33,158.65,201.45,194.1,2675,2733,2768,2817,2817
Rice,Uttar Pradesh,Rabi,0.27,,,,,0.88,,,,,3268,,,,
Rice,Uttar Pradesh,Summer,,0.32,0.36,2,,,1.1,1.25,6.14,,,3439,3474,3068,
Rice,Uttar Pradesh,Total,57.03,58.98,57.68,73.5,68.9,152.72,161.43,159.9,207.59,194.1,2678,2737,2772,2824,2817
Rice,Uttarakhand,Kharif,2.33,2.27,2.21,2.09,2.06,6.24,5.57,5.63,5.56,5.19,2680,2453,2552,2667,2525
Rice,Uttarakhand,Rabi,0.24,,,,,0.92,,,,,3817,,,,
Rice,Uttarakhand,Summer,,0.22,0.23,0.07,,,0.78,0.81,0.29,,,3526,3571,3921,
Rice,Uttarakhand,Total,2.57,2.49,2.43,2.16,2.06,7.16,6.34,6.44,5.86,5.19,2786,2548,2647,2710,2525
Rice,West Bengal,Kharif,42.86,37.69,38.09,42.3,42.76,122.05,107.79,109.47,110.06,118.54,2848,2860,2874,2602,2772
Rice,West Bengal,Rabi,13,,,,,45.23,,,,,3479,,,,
Rice,West Bengal,Summer,,12.96,13.1,13.62,,,47.06,47.39,50.14,,,3630,3617,3680,
Rice,West Bengal,Total,55.86,50.65,51.19,55.92,42.76,167.29,154.84,156.87,160.19,118.54,2995,3057,3064,2865,2772
Rice,Others,Kharif,,,,,10.84,,,,,24.76,,,,,2284
Rice,Others,Total,,,,,10.84,,,,,24.76,,,,,2284
Rice,All India,Kharif,410.38,404.03,407.34,434.66,441.7,1110.01,1105.12,1132.59,1227.72,1245.04,2705,2735,2780,2825,2819
Rice,All India,Rabi,52.4,43.28,40.76,44.73,,184.71,150.04,146.01,161.29,,3525,3467,3582,3606,
Rice,All India,Summer,,31.01,30.18,33.28,,,102.4,99.65,112.84,,,3302,3302,3391,
Rice,All India,Total,462.79,478.32,478.28,512.67,441.7,1294.71,1357.55,1378.25,1501.84,1245.04,2798,2838,2882,2929,2819
